Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Year
96375,39,35,60,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,2014-02-06,Parts per billion,14.434783,39.0,6,37,Parts per million,0.022625,0.033,17,31,Parts per billion,0.314286,1.0,5,,Parts per million,0.219435,0.448,8,,2014
68150,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,2012-02-19,Parts per billion,10.261905,30.2,22,28,Parts per million,0.025208,0.037,11,31,Parts per billion,1.716667,7.6,8,10.0,Parts per million,0.220952,0.49,22,,2012
64735,17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2011-01-08,Parts per billion,8.583333,24.0,21,23,Parts per million,0.020375,0.031,0,26,Parts per billion,1.125,2.0,13,3.0,Parts per million,0.3375,0.5,22,6.0,2011
54375,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,2008-08-04,Parts per billion,4.0,12.0,8,11,Parts per million,0.024375,0.036,9,31,Parts per billion,0.136364,1.0,11,1.0,Parts per million,0.516667,0.6,6,,2008
83512,32,31,16,"301 A STATE STREET, RENO, NV 89502",Nevada,Washoe,Reno,2014-07-19,Parts per billion,6.975,11.1,4,10,Parts per million,0.044917,0.06,9,67,Parts per billion,0.129167,0.2,9,0.0,Parts per million,0.195833,0.3,0,3.0,2014
58033,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,2013-12-22,Parts per billion,2.25,12.0,18,11,Parts per million,0.01875,0.027,10,25,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.741667,0.8,10,9.0,2013
95294,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2014-04-20,Parts per billion,5.383333,10.6,20,9,Parts per million,0.034833,0.051,11,47,Parts per billion,0.0375,0.1,8,,Parts per million,0.2,0.2,0,2.0,2014
35269,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2009-01-11,Parts per billion,10.26087,22.0,20,21,Parts per million,0.016625,0.034,11,29,Parts per billion,0.869565,1.0,0,1.0,Parts per million,0.304167,0.5,0,6.0,2009
20303,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,2004-07-01,Parts per billion,8.521739,14.0,6,13,Parts per million,0.033625,0.058,11,49,Parts per billion,1.26087,2.0,1,3.0,Parts per million,0.169565,0.3,4,,2004
35915,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2004-03-16,Parts per billion,23.0,39.0,19,37,Parts per million,0.013375,0.035,10,30,Parts per billion,3.014286,7.3,11,,Parts per million,0.891304,2.5,22,,2004
75438,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2010-02-08,Parts per billion,3.166667,5.0,21,5,Parts per million,0.034458,0.037,7,31,Parts per billion,0.3,0.7,5,,Parts per million,0.179167,0.2,5,2.0,2010
62169,23,5,29,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,2010-01-25,Parts per billion,14.117647,46.0,5,43,Parts per million,0.030333,0.038,10,32,Parts per billion,2.1,3.0,11,,Parts per million,0.2375,0.5,6,,2010
112173,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2015-02-03,Parts per billion,13.045833,26.7,7,25,Parts per million,0.020458,0.028,10,26,Parts per billion,0.3,0.8,11,,Parts per million,0.241667,0.3,0,3.0,2015
125449,48,309,1037,4472 Mazanec Rd,Texas,McLennan,Waco,2013-08-05,Parts per billion,0.145833,3.3,20,3,Parts per million,0.025417,0.041,11,35,Parts per billion,0.775,1.2,2,,Parts per million,0.1,0.1,0,1.0,2013
18346,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,2015-06-22,Parts per billion,11.534783,24.5,20,23,Parts per million,0.031375,0.066,9,87,Parts per billion,1.282609,3.2,12,4.0,Parts per million,0.280304,0.537,21,,2015
39490,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,2014-08-27,Parts per billion,0.086957,1.0,2,1,Parts per million,0.043708,0.053,9,49,Parts per billion,0.347826,1.0,2,1.0,Parts per million,0.0,0.0,0,,2014
65574,19,153,30,"1907 CARPENTER, DES MOINES IOWA",Iowa,Polk,Des Moines,2014-07-07,Parts per billion,3.270833,8.5,7,8,Parts per million,0.032583,0.044,9,41,Parts per billion,0.0,0.0,2,,Parts per million,0.183333,0.2,0,2.0,2014
102927,40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,2014-11-22,Parts per billion,4.758333,8.9,8,8,Parts per million,0.027875,0.032,15,30,Parts per billion,0.0125,0.1,14,0.0,Parts per million,0.172917,0.22,14,,2014
97118,40,109,1037,2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),Oklahoma,Oklahoma,Oklahoma City,2013-09-08,Parts per billion,5.125,15.0,0,14,Parts per million,0.04625,0.062,10,74,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.175,0.3,0,,2013
83721,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2010-05-11,Parts per billion,10.5,31.0,5,29,Parts per million,0.035375,0.044,10,37,Parts per billion,0.625,3.0,3,4.0,Parts per million,0.1375,0.3,4,,2010
10350,6,1,11,1100 21st Street,California,Alameda,Oakland,2011-08-25,Parts per billion,10.756522,17.2,21,16,Parts per million,0.009542,0.014,22,12,Parts per billion,0.354545,0.8,11,0.0,Parts per million,0.434783,0.5,7,,2011
50339,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,2005-07-18,Parts per billion,15.833333,35.0,20,33,Parts per million,0.032333,0.053,7,45,Parts per billion,0.791667,4.0,16,6.0,Parts per million,0.416667,0.9,23,10.0,2005
89770,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2011-09-22,Parts per billion,8.166667,13.0,8,12,Parts per million,0.0115,0.023,11,19,Parts per billion,0.020833,0.2,8,0.0,Parts per million,0.408333,0.5,7,,2011
42347,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2014-08-17,Parts per billion,0.0,0.0,0,0,Parts per million,0.02855,0.03,9,28,Parts per billion,0.043478,1.0,2,1.0,Parts per million,0.125,0.2,2,2.0,2014
8515,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,2004-06-05,Parts per billion,4.304348,11.0,19,10,Parts per million,0.0255,0.027,10,23,Parts per billion,1.954545,5.0,10,7.0,Parts per million,0.354167,0.4,0,5.0,2004
